t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|             0         1.914         1.854          1.81         1.775         1.745          1.72         1.697         1.676         1.657         1.639         1.622         1.606         1.591         1.575         1.561         1.551         1.556         1.602         1.736             0
            19|             0       0.08606        0.1456        0.1897        0.2249        0.2546        0.2804        0.3033        0.3241        0.3432         0.361        0.3777        0.3938        0.4094        0.4247        0.4388        0.4494         0.444        0.3979        0.2639             0
            18|             0      -0.03817      -0.03596      -0.02588      -0.01479     -0.003832      0.006925       0.01727       0.02741       0.03758       0.04808       0.05925       0.07165       0.08596        0.1026        0.1205        0.1348        0.1472        0.1431       0.09103             0
            17|             0      -0.01083      -0.01945      -0.02279      -0.02326      -0.02224      -0.02035       -0.0176      -0.01401     -0.009431     -0.003489      0.004457       0.01517       0.02938       0.04704       0.06568       0.07893       0.07545       0.05857       0.02874             0
            16|             0     -0.006934      -0.01348      -0.01737      -0.01941      -0.02026      -0.02027      -0.01948      -0.01785       -0.0152      -0.01119      -0.00534      0.003054       0.01463       0.02931       0.04502       0.05628       0.05206       0.02811      0.002128             0
            15|             0     -0.004477     -0.009758      -0.01371      -0.01635      -0.01799      -0.01887      -0.01908      -0.01863      -0.01747      -0.01544      -0.01229     -0.007662     -0.001145      0.007259       0.01631       0.02241       0.01721     -0.003876      -0.01675             0
            14|             0     -0.003184     -0.007565      -0.01133      -0.01424       -0.0164      -0.01797      -0.01906      -0.01975      -0.02013      -0.02029      -0.02031      -0.02031      -0.02034      -0.02062      -0.02189      -0.02553      -0.03163       -0.0383      -0.03285             0
            13|             0     -0.002475      -0.00626     -0.009829      -0.01287       -0.0154      -0.01754       -0.0194      -0.02114      -0.02297      -0.02516      -0.02819       -0.0327      -0.03945      -0.04882      -0.06004      -0.07033      -0.07461      -0.06871      -0.04638             0
            12|             0     -0.002082     -0.005482     -0.008892        -0.012       -0.0148      -0.01737      -0.01986      -0.02245      -0.02541      -0.02914       -0.0343      -0.04186      -0.05306      -0.06854      -0.08654       -0.1014       -0.1048      -0.09059      -0.05565             0
            11|             0     -0.001865     -0.005015     -0.008304      -0.01144      -0.01441       -0.0173      -0.02023      -0.02339      -0.02707      -0.03166       -0.0378      -0.04638      -0.05858      -0.07526      -0.09516       -0.1126       -0.1174       -0.1009      -0.05949             0
            10|             0     -0.001745     -0.004727     -0.007917      -0.01105      -0.01411      -0.01718      -0.02035      -0.02382       -0.0278      -0.03264      -0.03879      -0.04685      -0.05753      -0.07139      -0.08783       -0.1032       -0.1095      -0.09603      -0.05661             0
             9|             0     -0.001675     -0.004535     -0.007635      -0.01073      -0.01382      -0.01694       -0.0202      -0.02372      -0.02768      -0.03231      -0.03788      -0.04467      -0.05292      -0.06264      -0.07322      -0.08266      -0.08629      -0.07602        -0.045             0
