t: 0.200859
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            20|             0         1.981         1.973         1.969         1.968         1.966         1.966         1.965         1.965         1.965         1.965         1.965         1.965         1.965         1.966         1.966         1.967         1.969         1.973         1.981             0
            19|             0       0.01923       0.02699       0.03057       0.03247       0.03358       0.03428       0.03473       0.03501       0.03516       0.03521       0.03517       0.03502       0.03475       0.03432       0.03364       0.03254       0.03067       0.02712       0.01935             0
            18|             0     -0.007656     -0.007759     -0.006648     -0.005627     -0.004865     -0.004328     -0.003961     -0.003722     -0.003588     -0.003544     -0.003586     -0.003717     -0.003952     -0.004316      -0.00485     -0.005608     -0.006625     -0.007729     -0.007619             0
            17|             0     -0.003735     -0.005071     -0.005193      -0.00491     -0.004556     -0.004244     -0.004002     -0.003835     -0.003737     -0.003705     -0.003737     -0.003836     -0.004005     -0.004249     -0.004567      -0.00493     -0.005229     -0.005135     -0.003822             0
            16|             0     -0.002083     -0.003318     -0.003829      -0.00394     -0.003875     -0.003754     -0.003633     -0.003539     -0.003479      -0.00346      -0.00348     -0.003541     -0.003637     -0.003761     -0.003886     -0.003958     -0.003857     -0.003356     -0.002118             0
            15|             0     -0.001314     -0.002289     -0.002863     -0.003143     -0.003247     -0.003261     -0.003237     -0.003205     -0.003181     -0.003173     -0.003182     -0.003208     -0.003242     -0.003268     -0.003258     -0.003158     -0.002883      -0.00231      -0.00133             0
            14|             0    -0.0009061     -0.001661     -0.002191     -0.002523     -0.002711     -0.002806     -0.002848     -0.002863     -0.002867     -0.002868     -0.002868     -0.002866     -0.002853     -0.002813      -0.00272     -0.002534     -0.002204     -0.001674    -0.0009145             0
            13|             0    -0.0006659     -0.001257     -0.001718     -0.002047     -0.002266     -0.002404     -0.002487     -0.002533     -0.002556     -0.002563     -0.002557     -0.002535     -0.002491      -0.00241     -0.002273     -0.002055     -0.001727     -0.001265    -0.0006707             0
            12|             0     -0.000512    -0.0009843     -0.001377     -0.001681     -0.001903     -0.002058     -0.002162     -0.002226     -0.002261     -0.002272     -0.002262     -0.002228     -0.002165     -0.002063     -0.001909     -0.001687     -0.001383    -0.0009893    -0.0005149             0
            11|             0    -0.0004068    -0.0007911     -0.001124     -0.001396     -0.001608     -0.001764     -0.001875     -0.001948     -0.001989     -0.002002      -0.00199      -0.00195     -0.001878     -0.001768     -0.001612     -0.001401     -0.001128    -0.0007943    -0.0004086             0
            10|             0    -0.0003313    -0.0006491    -0.0009324     -0.001172     -0.001367     -0.001517     -0.001627     -0.001701     -0.001745     -0.001759     -0.001745     -0.001703     -0.001629     -0.001519     -0.001369     -0.001175    -0.0009352    -0.0006513    -0.0003325             0
