temp_p (22x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
             0|             0             2   -6.0315e-06   -5.0345e-06   -3.9398e-06   -2.7745e-06   -1.5662e-06   -3.4209e-07    8.7135e-07     2.049e-06    3.1673e-06    4.2052e-06    5.1439e-06    5.9675e-06    6.6632e-06    7.2212e-06    7.6351e-06    7.9017e-06    8.0211e-06    7.9964e-06            -2             0
             1|             0   -6.7985e-06   -5.9513e-06   -4.9845e-06   -3.9232e-06   -2.7939e-06   -1.6231e-06   -4.3695e-07    7.3878e-07    1.8798e-06    2.9635e-06    3.9693e-06    4.8792e-06    5.6777e-06    6.3524e-06    6.8938e-06    7.2958e-06    7.5553e-06    7.6722e-06    7.6495e-06     -8.85e-06             0
             2|             0   -6.7376e-06   -5.9131e-06   -4.9728e-06   -3.9413e-06    -2.844e-06   -1.7066e-06   -5.5458e-07    5.8731e-07    1.6955e-06     2.748e-06     3.725e-06    4.6088e-06    5.3847e-06    6.0405e-06    6.5671e-06    6.9583e-06    7.2114e-06    7.3261e-06    7.3054e-06   -8.5097e-06             0
             3|             0   -6.7162e-06   -5.9112e-06   -4.9942e-06    -3.989e-06   -2.9201e-06   -1.8125e-06    -6.908e-07    4.2084e-07    1.4996e-06    2.5242e-06    3.4753e-06    4.3359e-06    5.0914e-06    5.7303e-06    6.2435e-06    6.6252e-06    6.8725e-06    6.9853e-06    6.9664e-06   -8.1658e-06             0
             4|             0    -6.728e-06   -5.9399e-06   -5.0432e-06   -4.0611e-06   -3.0172e-06    -1.936e-06    -8.413e-07    2.4341e-07    1.2959e-06    2.2956e-06    3.2236e-06    4.0634e-06    4.8009e-06    5.4246e-06    5.9259e-06    6.2991e-06    6.5413e-06    6.6525e-06    6.6353e-06   -7.8197e-06             0
             5|             0   -6.7671e-06   -5.9935e-06   -5.1144e-06   -4.1523e-06   -3.1305e-06   -2.0725e-06   -1.0017e-06    5.9129e-08    1.0884e-06    2.0659e-06    2.9734e-06    3.7947e-06    4.5161e-06    5.1264e-06    5.6172e-06    5.9829e-06    6.2206e-06    6.3304e-06    6.3148e-06   -7.4735e-06             0
             6|             0   -6.8276e-06   -6.0662e-06   -5.2023e-06   -4.2578e-06   -3.2552e-06   -2.2176e-06   -1.1678e-06   -1.2795e-07    8.8082e-07    1.8388e-06    2.7282e-06    3.5332e-06    4.2403e-06    4.8387e-06    5.3202e-06    5.6793e-06    5.9132e-06    6.0218e-06    6.0077e-06   -7.1293e-06             0
             7|             0   -6.9037e-06   -6.1527e-06   -5.3018e-06   -4.3724e-06   -3.3866e-06   -2.3668e-06   -1.3353e-06   -3.1385e-07    6.7692e-07    1.6178e-06    2.4912e-06    3.2819e-06    3.9765e-06    4.5646e-06     5.038e-06    5.3913e-06    5.6218e-06    5.7295e-06    5.7167e-06     -6.79e-06             0
             8|             0   -6.9901e-06   -6.2478e-06    -5.408e-06   -4.4916e-06   -3.5202e-06   -2.5158e-06   -1.5003e-06   -4.9481e-07     4.803e-07    1.4062e-06    2.2658e-06     3.044e-06    3.7278e-06    4.3068e-06    4.7731e-06    5.1214e-06    5.3491e-06     5.456e-06    5.4446e-06   -6.4582e-06             0
             9|             0   -7.0816e-06   -6.3466e-06   -5.5162e-06   -4.6109e-06   -3.6519e-06   -2.6608e-06    -1.659e-06   -6.6733e-07    2.9426e-07    1.2073e-06    2.0549e-06    2.8223e-06    3.4967e-06     4.068e-06    4.5282e-06    4.8723e-06    5.0976e-06    5.2039e-06    5.1937e-06   -6.1369e-06             0
            10|             0   -7.1738e-06   -6.4448e-06   -5.6223e-06   -4.7264e-06   -3.7779e-06   -2.7981e-06    -1.808e-06    -8.282e-07    1.2184e-07    1.0239e-06    1.8613e-06    2.6194e-06    3.2859e-06    3.8506e-06    4.3057e-06    4.6462e-06    4.8695e-06    4.9754e-06    4.9663e-06    -5.829e-06             0
            11|             0   -7.2624e-06   -6.5384e-06   -5.7226e-06   -4.8346e-06    -3.895e-06   -2.9247e-06   -1.9445e-06    -9.746e-07   -3.4303e-08    8.5843e-07    1.6872e-06    2.4377e-06    3.0975e-06    3.6567e-06    4.1076e-06    4.4451e-06    4.6668e-06    4.7725e-06    4.7644e-06   -5.5375e-06             0
