temp_p (22x22):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            -1|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
             0|             0        1.3445      -0.23344     -0.010872      0.015797      0.019612      0.018357      0.015914      0.013174      0.010841     0.0098778     0.0096949     0.0095928     0.0067902     -0.002696     0.0018914       0.10189       0.41487       0.83104       0.19512       -5.3047             0
             1|             0      -0.17774       0.23829        0.1509      0.094594      0.071434      0.058868      0.049964      0.042611      0.032283      0.025387      0.019606      0.014544     0.0096301     0.0038768    -0.0014536      0.033451       0.20742       0.49106       0.61652         0.413             0
             2|             0      -0.23221     -0.094573     -0.016106      0.013357      0.017198       0.01464       0.01152     0.0088188     0.0064089     0.0040378     0.0016245    -0.0010424    -0.0044728    -0.0094139     -0.015094    -0.0035734      0.077817       0.22794       0.30186       0.42242             0
             3|             0     -0.093028     -0.074605     -0.052236     -0.028269     -0.012872    -0.0054474    -0.0025333    -0.0016927    -0.0017819    -0.0024394    -0.0035178    -0.0050029     -0.006566    -0.0098109     -0.015008     -0.018683    -0.0053397      0.037557      0.049515       0.13215             0
             4|             0     -0.057109     -0.043409      -0.03836     -0.029472     -0.020174     -0.012967    -0.0083809    -0.0058245    -0.0045689    -0.0041244    -0.0042012    -0.0044572    -0.0053094    -0.0067471    -0.0086707     -0.010353    -0.0079881     0.0028574      0.003922      0.046013             0
             5|             0     -0.039872     -0.028575     -0.026969     -0.023495     -0.018932       -0.0143     -0.010422    -0.0075825    -0.0056767    -0.0044667    -0.0037158    -0.0030724    -0.0029828    -0.0026792    -0.0021248   -0.00082284     0.0023613     0.0084393      0.015281      0.044498             0
             6|             0     -0.030117      -0.02012     -0.019499     -0.017918     -0.015628     -0.012916     -0.010192     -0.007777    -0.0058013    -0.0042398    -0.0029811    -0.0018696   -0.00095591    0.00029171     0.0019739     0.0044233     0.0081004       0.01336       0.02042      0.042839             0
             7|             0     -0.023888     -0.014726     -0.014451     -0.013606      -0.01234     -0.010715    -0.0088823    -0.0070239    -0.0052751    -0.0036891    -0.0022452   -0.00093495    0.00038703     0.0019788     0.0039165     0.0063655       0.00948        0.0133      0.017584       0.03381             0
             8|             0     -0.019587     -0.011013     -0.010875     -0.010357    -0.0095729    -0.0085298    -0.0072708     -0.005878    -0.0044362    -0.0030031    -0.0015802   -0.00029966     0.0011301     0.0027112     0.0044965     0.0065385     0.0088451      0.011317      0.013577      0.025793             0
             9|             0     -0.016477    -0.0083301    -0.0082496    -0.0078951    -0.0073599    -0.0066389    -0.0057385    -0.0046899    -0.0035378    -0.0023239    -0.0010674    0.00011999       0.00144     0.0028372     0.0043247     0.0058972     0.0075113     0.0090524      0.010223      0.020333             0
            10|             0     -0.014182    -0.0063306    -0.0062754    -0.0060151     -0.005623    -0.0050949    -0.0044264    -0.0036273    -0.0027193    -0.0017291   -0.00068412    0.00035287     0.0014735     0.0026265     0.0037982      0.004962     0.0060684     0.0070301     0.0076498      0.016668             0
            11|             0     -0.012486    -0.0048147    -0.0047711    -0.0045716    -0.0042719    -0.0038703    -0.0033611    -0.0027463    -0.0020365    -0.0012485   -0.00040837    0.00044852     0.0013536     0.0022635     0.0031557     0.0040003     0.0047576     0.0053703     0.0057141      0.014144             0
            12|             0     -0.011257    -0.0036566    -0.0036187    -0.0034623    -0.0032281    -0.0029165    -0.0025231     -0.002048    -0.0014968   -0.00088082   -0.00022173    0.00045949     0.0011655     0.0018623     0.0025273     0.0031351     0.0036578     0.0040592     0.0042617      0.012392             0
            13|             0     -0.010406    -0.0027724    -0.0027372    -0.0026134    -0.0024284    -0.0021844    -0.0018786    -0.0015111    -0.0010857   -0.00061053   -0.00010255    0.00042457     0.0009622     0.0014852     0.0019746      0.002411     0.0027758     0.0030459     0.0031734      0.011198             0
            14|             0    -0.0098718    -0.0021027    -0.0020687    -0.0019703    -0.0018234    -0.0016313    -0.0013928    -0.0011084   -0.00078137   -0.00041789   -3.0826e-05    0.00037009    0.00077353     0.0011615     0.0015194     0.0018335     0.0020912     0.0022772     0.0023635      0.010434             0
            15|             0    -0.0096107    -0.0016049    -0.0015711    -0.0014923    -0.0013747    -0.0012224    -0.0010352   -0.00081421   -0.00056225   -0.00028444    9.6709e-06    0.00031259    0.00061399    0.00090121     0.0011635     0.0013912     0.0015762     0.0017071     0.0017705      0.010018             0
